Year,County,NYC,Type,Republican,Democratic,Other,Total,Republican Pct,Democratic Pct,Other Pct
2022,CATTARAUGUS,Not NYC,Senate,16938,8677,125,25740,0.658,0.337,0.005
2022,CAYUGA,Not NYC,Senate,15139,11527,132,26798,0.565,0.43,0.005
2022,CHAUTAUQUA,Not NYC,Senate,26217,16782,203,43202,0.607,0.388,0.005
2022,CHEMUNG,Not NYC,Senate,16907,10500,162,27569,0.613,0.381,0.006
2022,CHENANGO,Not NYC,Senate,10805,5778,128,16711,0.647,0.346,0.008
2022,CLINTON,Not NYC,Senate,13792,13341,170,27303,0.505,0.489,0.006
2022,COLUMBIA,Not NYC,Senate,12633,16812,98,29543,0.428,0.569,0.003
2022,CORTLAND,Not NYC,Senate,8485,7469,111,16065,0.528,0.465,0.007
2022,DELAWARE,Not NYC,Senate,11316,7041,103,18460,0.613,0.381,0.006
2022,DUTCHESS,Not NYC,Senate,56353,57306,617,114276,0.493,0.501,0.005
2022,ERIE,Not NYC,Senate,148585,188979,2156,339720,0.437,0.556,0.006
2022,ESSEX,Not NYC,Senate,7654,7514,91,15259,0.502,0.492,0.006
2022,FRANKLIN,Not NYC,Senate,8071,6885,90,15046,0.536,0.458,0.006
2022,FULTON,Not NYC,Senate,12191,6121,121,18433,0.661,0.332,0.007
2022,GENESEE,Not NYC,Senate,14897,7056,135,22088,0.674,0.319,0.006
2022,GREENE,Not NYC,Senate,11711,8026,124,19861,0.59,0.404,0.006
2022,HAMILTON,Not NYC,Senate,1838,969,16,2823,0.651,0.343,0.006
2022,HERKIMER,Not NYC,Senate,15042,6999,122,22163,0.679,0.316,0.006
2022,JEFFERSON,Not NYC,Senate,19667,11618,158,31443,0.625,0.369,0.005
2022,KINGS,NYC,Senate,129692,423867,3446,557005,0.233,0.761,0.006
2022,LEWIS,Not NYC,Senate,7372,3001,37,10410,0.708,0.288,0.004
2022,LIVINGSTON,Not NYC,Senate,14958,9029,171,24158,0.619,0.374,0.007
2022,MADISON,Not NYC,Senate,14573,11440,176,26189,0.556,0.437,0.007
2022,MONROE,Not NYC,Senate,117075,156529,1556,275160,0.425,0.569,0.006
2022,MONTGOMERY,Not NYC,Senate,9764,5783,85,15632,0.625,0.37,0.005
2022,NASSAU,Not NYC,Senate,265004,248186,1468,514658,0.515,0.482,0.003
2022,NEW YORK,NYC,Senate,65366,383518,2710,451594,0.145,0.849,0.006
2022,NIAGARA,Not NYC,Senate,43261,31950,400,75611,0.572,0.423,0.005
2022,ONEIDA,Not NYC,Senate,44899,29494,430,74823,0.6,0.394,0.006
2022,ONONDAGA,Not NYC,Senate,69374,99205,986,169565,0.409,0.585,0.006
2022,ONTARIO,Not NYC,Senate,24104,21626,253,45983,0.524,0.47,0.006
2022,ORANGE,Not NYC,Senate,63292,58364,604,122260,0.518,0.477,0.005
2022,ORLEANS,Not NYC,Senate,9609,3788,75,13472,0.713,0.281,0.006
2022,OSWEGO,Not NYC,Senate,24802,14909,257,39968,0.621,0.373,0.006
2022,OTSEGO,Not NYC,Senate,12042,9623,161,21826,0.552,0.441,0.007
2022,PUTNAM,Not NYC,Senate,23863,17019,168,41050,0.581,0.415,0.004
2022,QUEENS,NYC,Senate,137805,291905,2878,432588,0.319,0.675,0.007
2022,RENSSELAER,Not NYC,Senate,30662,30809,436,61907,0.495,0.498,0.007
2022,RICHMOND,NYC,Senate,88015,50985,664,139664,0.63,0.365,0.005
2022,ROCKLAND,Not NYC,Senate,51183,52298,412,103893,0.493,0.503,0.004
2022,ST. LAWRENCE,Not NYC,Senate,19389,14351,212,33952,0.571,0.423,0.006
2022,SARATOGA,Not NYC,Senate,52030,50718,549,103297,0.504,0.491,0.005
2022,SCHENECTADY,Not NYC,Senate,24440,29124,365,53929,0.453,0.54,0.007
2022,SCHOHARIE,Not NYC,Senate,8254,4385,101,12740,0.648,0.344,0.008
2022,SCHUYLER,Not NYC,Senate,4759,2883,46,7688,0.619,0.375,0.006
2022,SENECA,Not NYC,Senate,6375,5035,92,11502,0.554,0.438,0.008
2022,STEUBEN,Not NYC,Senate,23456,10616,188,34260,0.685,0.31,0.005
2022,SUFFOLK,Not NYC,Senate,311254,246789,2214,560257,0.556,0.44,0.004
2022,SULLIVAN,Not NYC,Senate,13385,10800,160,24345,0.55,0.444,0.007
2022,TIOGA,Not NYC,Senate,11981,6743,123,18847,0.636,0.358,0.007
2022,TOMPKINS,Not NYC,Senate,8956,25928,269,35153,0.255,0.738,0.008
2022,ULSTER,Not NYC,Senate,31327,45660,516,77503,0.404,0.589,0.007
2022,WARREN,Not NYC,Senate,14452,13263,183,27898,0.518,0.475,0.007
2022,WASHINGTON,Not NYC,Senate,12987,8773,139,21899,0.593,0.401,0.006
2022,WAYNE,Not NYC,Senate,21320,11983,164,33467,0.637,0.358,0.005
2022,WESTCHESTER,Not NYC,Senate,119891,205496,1136,326523,0.367,0.629,0.003
2022,WYOMING,Not NYC,Senate,11191,3838,87,15116,0.74,0.254,0.006
2022,YATES,Not NYC,Senate,4934,3247,47,8228,0.6,0.395,0.006
